ticker,flag_date,signal_value,max_drawdown_30d,outcome
SPY,2011-08-10,0.3906,0.0031,false_alarm
SPY,2011-08-11,0.432,-0.04,false_alarm
SPY,2011-08-12,0.4323,-0.0464,false_alarm
SPY,2011-08-15,0.4421,-0.0662,hit
SPY,2011-08-16,0.4359,-0.0581,hit
SPY,2011-08-17,0.4361,-0.0587,hit
SPY,2011-08-18,0.4509,-0.0163,false_alarm
SPY,2011-08-19,0.4506,-0.019,false_alarm
SPY,2011-08-22,0.4518,-0.0198,false_alarm
SPY,2011-08-23,0.4745,-0.051,hit
SPY,2011-08-24,0.477,-0.0642,hit
SPY,2011-08-25,0.4783,-0.0497,false_alarm
SPY,2011-08-26,0.4835,-0.0633,hit
SPY,2011-08-29,0.4975,-0.0895,hit
SPY,2011-08-30,0.4903,-0.0919,hit
SPY,2011-08-31,0.4901,-0.0959,hit
SPY,2011-09-01,0.4602,-0.0863,hit
SPY,2011-09-02,0.4695,-0.0624,hit
SPY,2011-09-06,0.4002,-0.0555,hit
SPY,2011-09-07,0.3792,-0.0814,hit
SPY,2011-09-08,0.3409,-0.0718,hit
SPY,2011-09-09,0.3197,-0.0468,false_alarm
SPY,2011-09-12,0.3196,-0.0529,hit
SPY,2011-09-13,0.3117,-0.0615,hit
SPY,2011-09-14,0.3147,-0.0743,hit
SPY,2011-09-15,0.3206,-0.09,hit
SPY,2011-09-16,0.2736,-0.0954,hit
SPY,2011-09-19,0.2684,-0.0863,hit
SPY,2011-09-20,0.2687,-0.0852,hit
SPY,2011-09-21,0.2707,-0.0574,hit
SPY,2011-09-22,0.2898,-0.026,false_alarm
SPY,2011-09-23,0.2867,-0.0318,false_alarm
SPY,2011-09-26,0.2948,-0.0543,hit
SPY,2011-09-27,0.2784,-0.0647,hit
SPY,2011-09-28,0.2861,-0.0452,false_alarm
SPY,2011-09-29,0.2875,-0.0527,hit
SPY,2011-09-30,0.2977,-0.0285,false_alarm
SPY,2011-10-03,0.3009,0.0219,false_alarm
SPY,2011-10-04,0.313,0.0185,false_alarm
SPY,2011-10-05,0.3028,0.0113,false_alarm
SPY,2011-10-06,0.3092,-0.0067,false_alarm
SPY,2011-10-07,0.295,0.0334,false_alarm
SPY,2011-10-10,0.3167,0.0007,false_alarm
SPY,2011-10-11,0.3154,-0.0043,false_alarm
SPY,2011-10-12,0.3132,-0.0347,false_alarm
SPY,2011-10-13,0.3073,-0.0346,false_alarm
SPY,2011-10-14,0.3126,-0.0508,hit
SPY,2011-10-17,0.3184,-0.0324,false_alarm
SPY,2011-10-18,0.3257,-0.0509,hit
SPY,2011-10-19,0.3089,-0.0395,false_alarm
SPY,2011-10-20,0.2803,-0.0437,false_alarm
SPY,2011-10-21,0.2853,-0.0615,hit
SPY,2011-10-24,0.278,-0.0729,hit
SPY,2011-10-25,0.2885,-0.0545,hit
SPY,2011-10-26,0.2765,-0.064,hit
SPY,2011-10-27,0.2967,-0.0955,hit
SPY,2011-10-28,0.2752,-0.0953,hit
SPY,2011-10-31,0.2679,-0.073,hit
SPY,2011-11-01,0.2886,-0.0464,false_alarm
SPY,2011-11-02,0.2873,-0.0617,hit
SPY,2011-11-03,0.2873,-0.0785,hit
SPY,2011-11-04,0.2871,-0.0728,hit
SPY,2011-11-07,0.2664,-0.0786,hit
SPY,2011-11-08,0.2686,-0.0902,hit
SPY,2011-11-09,0.3042,-0.0554,hit
SPY,2011-11-10,0.3054,-0.0642,hit
SPY,2011-11-11,0.3066,-0.0815,hit
SPY,2011-11-14,0.2996,-0.0727,hit
SPY,2011-11-15,0.2929,-0.0773,hit
SPY,2011-11-16,0.2958,-0.0624,hit
SPY,2011-11-17,0.3016,-0.0473,false_alarm
SPY,2011-11-18,0.2935,-0.0462,false_alarm
SPY,2011-11-21,0.2962,-0.0277,false_alarm
SPY,2011-11-22,0.2892,-0.0239,false_alarm
SPY,2011-11-23,0.2947,-0.0019,false_alarm
SPY,2011-11-25,0.2596,0.029,false_alarm
SPY,2011-11-28,0.2855,0.0028,false_alarm
SPY,2011-11-29,0.2753,0.0084,false_alarm
SPY,2011-11-30,0.2961,-0.0315,false_alarm
SPY,2011-12-01,0.2908,-0.0313,false_alarm
SPY,2011-12-02,0.2832,-0.0305,false_alarm
SPY,2011-12-05,0.2851,-0.0409,false_alarm
SPY,2011-12-06,0.2843,-0.0412,false_alarm
SPY,2011-12-07,0.2807,-0.0448,false_alarm
SPY,2011-12-08,0.2581,-0.0234,false_alarm
SPY,2011-12-09,0.2628,-0.0396,false_alarm
SPY,2011-12-12,0.2592,-0.0254,false_alarm
SPY,2011-12-13,0.2592,-0.0162,false_alarm
SPY,2011-12-14,0.2604,-0.0056,false_alarm
SPY,2011-12-15,0.2554,-0.0092,false_alarm
SPY,2011-12-16,0.249,-0.0107,false_alarm
SPY,2011-12-19,0.252,0.0303,false_alarm
SPY,2011-12-20,0.2633,0.0019,false_alarm
SPY,2011-12-21,0.2623,0.0053,false_alarm
SPY,2011-12-22,0.2463,-0.0035,false_alarm
SPY,2011-12-23,0.2459,-0.0123,false_alarm
SPY,2011-12-28,0.2361,0.0054,false_alarm
SPY,2013-06-26,0.1796,0.0017,false_alarm
SPY,2013-06-27,0.1805,-0.0041,false_alarm
SPY,2014-02-04,0.1511,-0.0013,false_alarm
SPY,2014-02-06,0.1578,0.0124,false_alarm
SPY,2014-02-07,0.1653,0.0018,false_alarm
SPY,2014-02-10,0.1651,0.0109,false_alarm
SPY,2014-02-11,0.1637,0.0005,false_alarm
SPY,2014-02-12,0.1587,0.0052,false_alarm
SPY,2014-02-13,0.1586,0.0001,false_alarm
SPY,2014-02-14,0.1599,-0.0054,false_alarm
SPY,2014-02-18,0.1592,-0.0066,false_alarm
SPY,2014-02-19,0.1607,0.0048,false_alarm
SPY,2014-02-20,0.1621,-0.0011,false_alarm
SPY,2014-02-21,0.1593,0.0042,false_alarm
SPY,2014-10-09,0.1548,-0.0336,false_alarm
SPY,2014-10-10,0.1581,-0.0224,false_alarm
SPY,2014-10-13,0.1662,-0.0061,false_alarm
SPY,2014-10-14,0.1627,-0.0076,false_alarm
